畀,bei˧˥,,,畀,bei˧˥,pjijH,,,畀,bei˧˥,ei˥,,,給,kap˥,gei˨˩˦,,
幫,bong˥˧,,,助;佐;為,zo˨;tso˧;wai˨˩,dzrjoH;tsaH;hjweP,,,同,tung˨˩,heong˨,,,幫,bong˥˧,bang˥,,
食,shik˨,,,食,shik˨,zyikY,,,吃,hek˧,hiak˧,,,吃,hek˧,chi˥,,
搵,wan˧˥,,,搜,sau˧˥,srjuwS,,,搵,wan˧˥,boi˥,,,找,zaau˧˥,zhao˨˩˦,,
攞,lo˧˥,,,取,ceoi˧˥,tshjuS,,,討,tou˧˥,hu˥,,,拿,naa˨˩,na˧˥,,
擺,baai˧˥,,,置;放,zi˧;fong˧,triH;pjangH,,,擺,baai˧˥,bai˥,,,擺 放;放 置,baai˧˥ fong˧;fong˧ zi˧,bai˨˩˦ fang˥˩;fang˥˩ zhi˥˩,,
搬,bun˥˧,,,移;遷,ji˨˩;cin˥˧,yeP;tshjenP,,,搬,bun˥˧,bon˧,,,搬,bun˥˧,ban˥,,
除;甩,cheoi˨˩;lat˥,,,脫,tyut˧,thwatY,,,除;甩;脫,cheoi˨˩;lat˥;tyut˧,tsui˨;lat˥;hot˧,,,脫,tyut˧,tuo˥,,
鬧,naau˨,,,罵;鬧,maa˨;naau˨,maeH;nraewH,,,鬧,naau˨,nau˧˨,,,罵,maa˨,ma˥˩,,
痛,tung˧,,,痛,tung˧,thuwngH,,,赤,chek˧,tiak˧,,,疼;痛,tang˨˩;tung˧,teng˧˥;tong˥˩,,
行,haang˨˩,,,行;步,haang˨˩;bou˨,haengP;buH,,,行,haang˨˩,hang˨,,,走,tsau˧˥,zou˨˩˦,,
好,hou˧˥,,,好;甚,hou˧˥;sham˨,xawS;dzyimH,,,好,hou˧˥,hau˥,,,很,han˧˥,hen˨˩˦,,
好,hou˧˥,,,善,shin˨,dzyenS,,,好,hou˧˥,hau˥,,,好,hou˧˥,hao˨˩˦,,
差 唔 多;爭 啲,chaa˥˧ m˨˩ do˥˧;zaang˥˧ di˥˧,,,幾;汔,gei˥˧;hat˥,kj+jP;xj+tY,,,差 唔 多;差 啲 (多),chaa˥˧ m˨˩ do˥˧;chaa˥˧ dit˥ do˥˧,tsang˧ m˨ o˧˧˥;tsang˧ nit˥ u˨˩˦,,,差 不 多;差 點 (兒),chaa˥˧ bat˥ do˥˧;chaa˥˧ dim˧˥ ji˨˩,cha˥˩ bu˨˩ duo˥;chaa˥˩ dian˨˩ r˨˧,,
啱,ngaam˥˧,,,正;是,zing˧;si˨,tsyengH';dzyeS,,,啱,ngaam˥˧,ngam˥,,,對,deoi˧,dui˥˩,,
鍾 意,zung˥˧ ji˧,,,好;喜,hou˧;hei˧˥,xawH;xiS,,,鍾 意;爽 心,zung˥˧ ji˧;shong˧˥ sam˥˧,dzeong˧ yi˧;song˥ lhim˧,,,喜 歡;高 興,hei˧˥ fun˥˧;gou˥˧ hing˧,xi˨˩ huan˨˧;gao˥ xing˥˩,,
開 心,hoi˥˧ sam˥˧,,,喜,hei˧˥,xiS,,,開 心;心 喜,hoi˥˧ sam˥˧;sam˥˧ hei˧˥,hoi˧ lhim˧;lhim˧ hi˧˧˥,,,開 心,hoi˥˧ sam˥˧,kai˥ xin˥,,
玩,waan˧˥,,,弄,lung˨,luwngH,,,戀;反,lyun˧˥;faan˧˥,lun˥;fan˥,,,玩,waan˧˥,wan˧˥,,
琴 日;噚 日,kam˨˩ jat˨;cam˨˩ jat˨,,,咋 (日),tsok˧ jat˨,dzakY nyitY,,,昨 日,tsok˧ jat˨,dau˨˩ ngit˨˩˦,,,昨 天,tsok˨ tin˥˧,zuo˧˥ tian˥,,
今 日,gam˥˧ jat˨,,,今,gam˥˧,kimP,,,今 日,gam˥˧ jat˨,gim˧ ngit˨˩,,,今 天,gam˥˧ tin˥˧,jin˥ tian˥,,
聽 日,ting˥˧ jat˨,,,明 日,ming˨˩ jat˨,mjaengP nyitY,,,天 早,tin˥˧ tsou˧˥,hein˧˨ dau˥,,,明 天,ming˨˩ tin˥˧,ming˧˥ tian˥,,
光,gwong˥˧,,,明;光,ming˨˩;gwong˥˧,mjaengP;kwangP,,,皓,hou˨,hau˧˨,,,亮,loeng˨,liang˥˩,,
入 便,jap˨ bin˨,,,內,noi˨,nwojH,,,入 便,jap˨ bin˨,yip˧˨ ben˧˨,,,裡 面,leoi˩˧ min˨,li˨˩˦ mian˥˩,,
出 便,cheot˥ bin˨,,,出;外,cheot˥;ngoi˨,tsyhwitY;ngwajH,,,出 便,cheot˥ bin˨,tsut˥ ben˧˨,,,外 面,ngoi˨ min˨,wai˥˩ mian˥˩,,
便;邊;面,bin˨;bin˥˧;min˨,,,, , , ,,便;邊;面,bin˨;bin˥˧;min˨,ben˧˨;ben˧˨;men˧˨,,,面,min˨,mian˥˩,,
